0,1
Series C Preferred Stock,"Vistra's 8.875% Series C Fixed-Rate Reset Cumulative Redeemable Perpetual Preferred Stock, $0.01 par value, with a liquidation preference of $1,000 per share"
SG&A,"selling, general, and administrative"
SO 2,sulfur dioxide
SOFR,"Secured Overnight Financing Rate, the average rate at which institutions can borrow U.S. dollars overnight while posting U.S. Treasury Bonds as collateral"
TRA,"Amended and Restated Tax Receivable Agreement, containing certain rights (TRA Rights) to receive payments from Vistra related to certain tax benefits, including benefits realized as a result of certain transactions entered into at the emergence of our predecessor from reorganization under Chapter 11 of the U.S. Bankruptcy Code"
U.S.,United States of America
Vistra Operations Commodity- Linked Credit Agreement,"credit agreement, dated as of February 4, 2022 (as amended, restated, amended and restated, supplemented, and/or otherwise modified from time to time) by and among Vistra Operations, Vistra Intermediate, the lenders party thereto, the other credit parties thereto, the administrative agent, the collateral agent, and the other parties named therein"
Vistra Operations Credit Agreement,"credit agreement, dated as of October 3, 2016 (as amended, restated, amended and restated, supplemented and/or otherwise modified from time to time), by and among Vistra Operations, Vistra Intermediate, the lenders party thereto, the letter of credit issuers party thereto, the administrative agent, the collateral agent, and the other parties named therein"
Vistra Operations Credit Facilities,Vistra Operations revolving credit commitments and term loan financing facilities
Vistra Zero Credit Agreement,"credit agreement, dated as of March 26, 2024 (as amended, restated, amended and restated, supplemented and/or otherwise modified from time to time), by and among Vistra Zero Operating, the lenders party thereto, the administrative agent, and collateral agent, and the other parties named therein"
